namespace,name,kind,description,properties,example_json,url
CFX.Maintenance,ResourceSetupEvent,Event/Notification,"** NOTE: ADDED in CFX 1.3 ** Allows any CFX endpoint to send data about the resource and sub-resources setup. The event can be sent ""on change"" or ""time"" base.",ResourceSetupEvent: Default constructor for the ResourceSetupEvent | EventDateTime: The date time of the event | ResourceSetup: Dynamic structure that describes the details of this resource.,"{
  ""EventDateTime"": ""2020-11-26T18:27:14+01:00"",
  ""ResourceSetup"": {
    ""$type"": ""CFX.Structures.Maintenance.SMTPlacementSetup, CFX"",
    ""UniqueIdentifier"": ""10000000"",
    ""Name"": ""SIPLACE SX4"",
    ""ResourceType"": null,
    ""Vendor"": null,
    ""ModelNumber"": null,
    ""SerialNumber"": null,
    ""SoftwareVersion"": null,
    ""FirmwareVersion"": null,
    ""NozzleChangerPockets"": [
      {
        ""ResourceIdentifier"": ""10000000_466"",
        ""IdentiferUniqueness"": ""LocallyPersistent"",
        ""ResourceName"": ""10000000_NozzleChanger_1_L_1_1_2_2_1006"",
        ""ResourceType"": ""1006"",
        ""ResourcePosition"": ""4.1.2.2"",
        ""MaintenanceStatus"": null,
        ""AdditionalSubResources"": null
      },
      {
        ""ResourceIdentifier"": ""10000000_467"",
        ""IdentiferUniqueness"": ""LocallyPersistent"",
        ""ResourceName"": ""10000000_NozzleChanger_1_L_1_1_2_1_1006"",
        ""ResourceType"": ""1006"",
        ""ResourcePosition"": ""4.1.2.1"",
        ""MaintenanceStatus"": null,
        ""AdditionalSubResources"": null
      }
    ],
    ""Tables"": [
      {
        ""ResourceIdentifier"": ""10000000_FeederDevice_1_L"",
        ""IdentiferUniqueness"": ""UnserializedLocation"",
        ""ResourceName"": ""Table_4"",
        ""ResourceType"": null,
        ""ResourcePosition"": ""4.1.1"",
        ""MaintenanceStatus"": null,
        ""AdditionalSubResources"": null
      },
      {
        ""ResourceIdentifier"": ""10000000_FeederDevice_1_R"",
        ""IdentiferUniqueness"": ""UnserializedLocation"",
        ""ResourceName"": ""Table_1"",
        ""ResourceType"": null,
        ""ResourcePosition"": ""1.1.1"",
        ""MaintenanceStatus"": null,
        ""AdditionalSubResources"": null
      }
    ],
    ""Feeders"": [
      {
        ""ResourceIdentifier"": ""08ASMS500240"",
        ""IdentiferUniqueness"": ""Unkwnown"",
        ""ResourceName"": ""8mm-X Tape_2.40"",
        ""ResourceType"": ""8mm-X Tape"",
        ""ResourcePosition"": ""2.40"",
        ""MaintenanceStatus"": null,
        ""AdditionalSubResources"": null,
        ""MultiLanes"": [
          {
            ""CycleCount"": null,
            ""LaneNumber"": 1,
            ""UniqueIdentifier"": ""08ASMS500240_1""
          }
        ]
      },
      {
        ""ResourceIdentifier"": ""09ASMS500302"",
        ""IdentiferUniqueness"": ""Unkwnown"",
        ""ResourceName"": ""2x8mm-X Tape_3.2"",
        ""ResourceType"": ""2x8mm-X Tape"",
        ""ResourcePosition"": ""3.2"",
        ""MaintenanceStatus"": null,
        ""AdditionalSubResources"": null,
        ""MultiLanes"": [
          {
            ""CycleCount"": null,
            ""LaneNumber"": 1,
            ""UniqueIdentifier"": ""09ASMS500302_Lane_1""
          },
          {
            ""CycleCount"": null,
            ""LaneNumber"": 2,
            ""UniqueIdentifier"": ""09ASMS500302_Lane_2""
          }
        ]
      }
    ]
  }
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Maintenance_ResourceSetupEvent.htm
CFX.Materials.Management,BlockMaterialsRequest,Request,A request to block one or more particular lots or instances of material from use in production.,BlockMaterialsRequest: Default Constructor | Blocker: The person responsible for initiating this block (optional) | Comments: Human readable comments describing the nature of the block (optional) | MaterialPackageIdentifiers: A list of the unique identifiers of the material packages to be blocked | Reason: An enumeration describing the reason for the block,"{
  ""MaterialPackageIdentifiers"": [
    ""MAT4566556456"",
    ""MAT4566554543""
  ],
  ""Reason"": ""SuspectedProblem"",
  ""Comments"": ""Suspected Bad Lot of Parts"",
  ""Blocker"": {
    ""OperatorIdentifier"": null,
    ""ActorType"": ""Human"",
    ""FullName"": null,
    ""LastName"": null,
    ""FirstName"": null,
    ""LoginName"": null
  }
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_BlockMaterialsRequest.htm
CFX.Materials.Management,BlockMaterialsResponse,Response,Response to a request block one or more instances of material from use in production,"BlockMaterialsResponse: Default Constructor | MaterialsPackagesNotBlocked: In the case that some of the material packages identified in the request could not be blocked, the Result property will be set to PartialSuccess, and this property will contain a list of the identifiers that could not be blocked. | Result: The result of the request","{
  ""Result"": {
    ""Result"": ""Success"",
    ""ResultCode"": 0,
    ""Message"": ""OK""
  },
  ""MaterialsPackagesNotBlocked"": []
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_BlockMaterialsResponse.htm
CFX.Materials.Management,GetMaterialInformationRequest,Request,A request (typically to an factory level software system) to obtain detailed information about a particular material package (or collection of material packages).,GetMaterialInformationRequest: Default Constructor | MaterialPackageIdentifiers: A list of the unique identifiers of the material packages for which detailed information is requested.,"{
  ""MaterialPackageIdentifiers"": [
    ""MAT4566556456"",
    ""MAT4566554543""
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_GetMaterialInformationRequest.htm
CFX.Materials.Management,GetMaterialInformationResponse,Response,Response to a request to obtain detailed information about one or more material packages,GetMaterialInformationResponse: Default Constructor | Materials: A list of structures containing the detailed information about the material packages that were requested. | Result: The result of the request,"{
  ""Result"": {
    ""Result"": ""Success"",
    ""ResultCode"": 0,
    ""Message"": null
  },
  ""Materials"": [
    {
      ""UniqueIdentifier"": ""MAT4566556456"",
      ""InternalPartNumber"": ""IPN47788"",
      ""Manufacturer"": ""MOTOROLA"",
      ""ManufacturerPartNumber"": ""MOT231234"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG23452442"",
      ""ManufacturerLotCode"": ""LOT2016110588"",
      ""Created"": ""2019-08-30T08:57:38.8044515-04:00"",
      ""ManufactureDate"": ""2016-11-05T00:00:00"",
      ""ReceivedDate"": ""2017-05-06T00:00:00"",
      ""ExpiryDate"": null,
      ""Units"": null,
      ""InitialQuantity"": 1000.0,
      ""Quantity"": 887.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""RoHS"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": null,
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2017-05-06T13:55:33"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL3"",
        ""MSDState"": ""InDryStorage""
      }
    },
    {
      ""UniqueIdentifier"": ""MAT4566554543"",
      ""InternalPartNumber"": ""IPN48899"",
      ""Manufacturer"": ""SAMSUNG"",
      ""ManufacturerPartNumber"": ""SAM233243"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG44543534"",
      ""ManufacturerLotCode"": ""LOT2016101008"",
      ""Created"": ""2019-08-30T08:57:38.8044515-04:00"",
      ""ManufactureDate"": ""2016-10-10T00:00:00"",
      ""ReceivedDate"": ""2017-09-09T00:00:00"",
      ""ExpiryDate"": null,
      ""Units"": null,
      ""InitialQuantity"": 1000.0,
      ""Quantity"": 748.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""NotHazardous"",
      ""MaterialData"": null
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_GetMaterialInformationResponse.htm
CFX.Materials.Management,MaterialsChainSplit,Event/Notification,Sent when a certain material package chain is is been modified by opening the splice plate and therefore create 2 material chains out of one. No new material ID will be created during this usecase. This use case is operatoed on the station.,"MaterialsChainSplit:  | RemainingMaterialPackage: The material Chain is the packaging unit chain, which is remaining at the station. | SplittedMaterialPackage: The splitted chain is the packaging unit chain, which is removed from the machine",,https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MaterialsChainSplit.htm
CFX.Materials.Management,MaterialsConsumed,Event/Notification,Sent by a process endpoint when materials are consumed,MaterialsConsumed: Default constructor | ConsumedMaterials: A list of one or more materials that have been consumed,"{
  ""ConsumedMaterials"": [
    {
      ""MaterialLocation"": {
        ""LocationIdentifier"": ""3245434554"",
        ""LocationName"": ""SLOT22"",
        ""MaterialPackage"": {
          ""UniqueIdentifier"": ""MAT238908348903"",
          ""InternalPartNumber"": ""IPN-1222-55555"",
          ""Quantity"": 344.0
        },
        ""CarrierInformation"": {
          ""$type"": ""CFX.Structures.SMTPlacement.SMDTapeFeeder, CFX"",
          ""BaseUniqueIdentifier"": null,
          ""BaseName"": null,
          ""LaneNumber"": 1,
          ""TapeWidth"": 8.0,
          ""TapePitch"": 4.0,
          ""UniqueIdentifier"": ""234232432424"",
          ""Name"": ""FEEDER2245465""
        }
      },
      ""QuantityUsed"": 42.0,
      ""QuantitySpoiled"": 2.0,
      ""RemainingQuantity"": 344.0
    },
    {
      ""MaterialLocation"": {
        ""LocationIdentifier"": ""3245435784"",
        ""LocationName"": ""SLOT28"",
        ""MaterialPackage"": {
          ""UniqueIdentifier"": ""MAT238908323434"",
          ""InternalPartNumber"": ""IPN-1222-11111"",
          ""Quantity"": 258.0
        },
        ""CarrierInformation"": {
          ""$type"": ""CFX.Structures.SMTPlacement.SMDTapeFeeder, CFX"",
          ""BaseUniqueIdentifier"": null,
          ""BaseName"": null,
          ""LaneNumber"": 1,
          ""TapeWidth"": 8.0,
          ""TapePitch"": 4.0,
          ""UniqueIdentifier"": ""234232432424"",
          ""Name"": ""FEEDER2245465""
        }
      },
      ""QuantityUsed"": 88.0,
      ""QuantitySpoiled"": 3.0,
      ""RemainingQuantity"": 258.0
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MaterialsConsumed.htm
CFX.Materials.Management,MaterialsInitialized,Event/Notification,Sent whan one or more new material packages are introduced into the factory environment.,"MaterialsInitialized: Default constructor | Materials: A list of the new material packages, including details","{
  ""Materials"": [
    {
      ""UniqueIdentifier"": ""MAT4566556456"",
      ""InternalPartNumber"": ""IPN47788"",
      ""Manufacturer"": ""MOTOROLA"",
      ""ManufacturerPartNumber"": ""MOT231234"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG23452442"",
      ""ManufacturerLotCode"": ""LOT2016110588"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2016-11-05T00:00:00"",
      ""ReceivedDate"": ""2017-05-06T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 1000.0,
      ""Quantity"": 887.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""RoHS"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": null,
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2017-05-06T13:55:33"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL3"",
        ""MSDState"": ""InDryStorage""
      }
    },
    {
      ""UniqueIdentifier"": ""MAT4566554543"",
      ""InternalPartNumber"": ""IPN48899"",
      ""Manufacturer"": ""SAMSUNG"",
      ""ManufacturerPartNumber"": ""SAM233243"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG44543534"",
      ""ManufacturerLotCode"": ""LOT2016101008"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2016-10-10T00:00:00"",
      ""ReceivedDate"": ""2017-09-09T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 1000.0,
      ""Quantity"": 748.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""NotHazardous"",
      ""MaterialData"": null
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MaterialsInitialized.htm
CFX.Materials.Management,MaterialsJoined,Event/Notification,"Sent when two separate material packages (containing the same part) are joined together. For example, as in the case of the splicing together of multiple reels of embossed tape containing SMD parts.","MaterialsJoined:  | LeadingMaterialPackage: Of the two material packages being joined, the material package which will be consumed first after joining | TrailingMaterialPackage: Of the two material packages being joined, the material package which will be consumed last after joining","{
  ""LeadingMaterialPackage"": {
    ""UniqueIdentifier"": ""MAT4566589856"",
    ""InternalPartNumber"": ""IPN45577"",
    ""Quantity"": 151.0
  },
  ""TrailingMaterialPackage"": {
    ""UniqueIdentifier"": ""MAT4563453457"",
    ""InternalPartNumber"": ""IPN45577"",
    ""Quantity"": 151.0
  }
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MaterialsJoined.htm
CFX.Materials.Management,MaterialsModified,Event/Notification,Sent when the attributes of one or more specific material packages have been altered.,"MaterialsModified: Default constructor | Materials: A list of material packages, including the updated information | Reason: The reason for the changes","{
  ""Reason"": ""ManualCountAndQuantityUpdate"",
  ""Materials"": [
    {
      ""UniqueIdentifier"": ""MAT4566556456"",
      ""InternalPartNumber"": ""IPN47788"",
      ""Manufacturer"": ""MOTOROLA"",
      ""ManufacturerPartNumber"": ""MOT231234"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG23452442"",
      ""ManufacturerLotCode"": ""LOT2016110588"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2016-11-05T00:00:00"",
      ""ReceivedDate"": ""2017-05-06T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 1000.0,
      ""Quantity"": 887.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""RoHS"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": null,
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2017-05-06T13:55:33"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL3"",
        ""MSDState"": ""InDryStorage""
      }
    },
    {
      ""UniqueIdentifier"": ""MAT4566554543"",
      ""InternalPartNumber"": ""IPN48899"",
      ""Manufacturer"": ""SAMSUNG"",
      ""ManufacturerPartNumber"": ""SAM233243"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG44543534"",
      ""ManufacturerLotCode"": ""LOT2016101008"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2016-10-10T00:00:00"",
      ""ReceivedDate"": ""2017-09-09T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 1000.0,
      ""Quantity"": 748.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""NotHazardous"",
      ""MaterialData"": null
    },
    {
      ""UniqueIdentifier"": ""MAT4566553421"",
      ""InternalPartNumber"": ""IPN45577"",
      ""Manufacturer"": ""FUJITSU"",
      ""ManufacturerPartNumber"": ""FJJT234243"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG543534537"",
      ""ManufacturerLotCode"": ""LOT2017080355"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2017-08-03T00:00:00"",
      ""ReceivedDate"": ""2017-09-10T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 500.0,
      ""Quantity"": 151.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""NotHazardous"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": null,
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2017-05-06T13:55:33"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL2A"",
        ""MSDState"": ""Exposed""
      }
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MaterialsModified.htm
CFX.Materials.Management,MaterialsRetired,Event/Notification,Sent when one or more material packages are fully exhausted / depleted,MaterialsRetired: Default constructor | Materials: A list of the materials that have been exhausted / depleted,"{
  ""Materials"": [
    {
      ""UniqueIdentifier"": ""MAT4566556456"",
      ""InternalPartNumber"": ""IPN47788"",
      ""Quantity"": 887.0
    },
    {
      ""UniqueIdentifier"": ""MAT4566554543"",
      ""InternalPartNumber"": ""IPN48899"",
      ""Quantity"": 748.0
    },
    {
      ""UniqueIdentifier"": ""MAT4566553421"",
      ""InternalPartNumber"": ""IPN45577"",
      ""Quantity"": 151.0
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MaterialsRetired.htm
CFX.Materials.Management,MaterialsSplit,Event/Notification,Sent when a a certain quantity of material is removed from a material package to form a new material package. The sum of the new quantities of the old and new material package packages should equal the quantity of the original package.,MaterialsSplit:  | NewMaterialPackageIdentifier: The unique identifier of the newly created material package | NewMaterialPackageQuantity: The amount of material contained within newly created material package | SourceMaterialPackageIdentifier: The unique identifier of the original material package that is being divided | SourceMaterialPackageRemainingQuantity: The quantity of material remaining in the original material package after it was divided,"{
  ""SourceMaterialPackageIdentifier"": ""MAT4566589856"",
  ""SourceMaterialPackageRemainingQuantity"": 121.0,
  ""NewMaterialPackageIdentifier"": ""MAT4563453457"",
  ""NewMaterialPackageQuantity"": 30.0
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MaterialsSplit.htm
CFX.Materials.Management,UnblockMaterialsRequest,Request,A request to unblock one or more particular lots or instances of material from use in production.,UnblockMaterialsRequest: Default constructor | Comments: Human readable comments describing the nature of the block (optional) | MaterialPackageIdentifiers: A list of the unique identifiers of the material packages to be blocked | Unblocker: The person responsible for removing the block (optional),"{
  ""Locations"": [
    {
      ""LocationIdentifier"": ""23143433"",
      ""LocationName"": ""SLOT45"",
      ""MaterialPackage"": null,
      ""CarrierInformation"": null
    },
    {
      ""LocationIdentifier"": ""23143454"",
      ""LocationName"": ""SLOT46"",
      ""MaterialPackage"": null,
      ""CarrierInformation"": null
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_UnblockMaterialsRequest.htm
CFX.Materials.Management,UnblockMaterialsResponse,Response,Response to a request to unblock one or more particular lots or instances of material from use in production.,UnblockMaterialsResponse: Default constructor | Result: The result of the request,"{
  ""Result"": {
    ""Result"": ""Success"",
    ""ResultCode"": 0,
    ""Message"": ""BLOCKED OK""
  }
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_UnblockMaterialsResponse.htm
CFX.Materials.Management.MSDManagement,MaterialsExpired,Event/Notification,"Sent when one or more MSD material packages have reached their maximum exposure time, and may no longer be used in production (unless reconditioned)",MaterialsExpired: Default constructor | Materials: The materials which have expired,"{
  ""Materials"": [
    {
      ""UniqueIdentifier"": ""MAT4566556456"",
      ""InternalPartNumber"": ""IPN47788"",
      ""Manufacturer"": ""MOTOROLA"",
      ""ManufacturerPartNumber"": ""MOT231234"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG23452442"",
      ""ManufacturerLotCode"": ""LOT2016110588"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2016-11-05T00:00:00"",
      ""ReceivedDate"": ""2017-05-06T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 1000.0,
      ""Quantity"": 887.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""RoHS"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": ""2018-09-28T12:48:00.2251223-04:00"",
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2018-09-28T12:48:00.2221189-04:00"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL3"",
        ""MSDState"": ""Expired""
      }
    },
    {
      ""UniqueIdentifier"": ""MAT4566553421"",
      ""InternalPartNumber"": ""IPN45577"",
      ""Manufacturer"": ""FUJITSU"",
      ""ManufacturerPartNumber"": ""FJJT234243"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG543534537"",
      ""ManufacturerLotCode"": ""LOT2017080355"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2017-08-03T00:00:00"",
      ""ReceivedDate"": ""2017-09-10T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 500.0,
      ""Quantity"": 151.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""NotHazardous"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": ""2018-09-28T12:48:00.2251223-04:00"",
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2018-09-28T12:48:00.2221189-04:00"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL2A"",
        ""MSDState"": ""Expired""
      }
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MSDManagement_MaterialsExpired.htm
CFX.Materials.Management.MSDManagement,MaterialsOpened,Event/Notification,Sent when one or more MSD material packages have been opened and exposed to the environment,MaterialsOpened: Default constructor | Materials: The materials which have been opened / exposed,"{
  ""Materials"": [
    {
      ""UniqueIdentifier"": ""MAT4566556456"",
      ""InternalPartNumber"": ""IPN47788"",
      ""Manufacturer"": ""MOTOROLA"",
      ""ManufacturerPartNumber"": ""MOT231234"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG23452442"",
      ""ManufacturerLotCode"": ""LOT2016110588"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2016-11-05T00:00:00"",
      ""ReceivedDate"": ""2017-05-06T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 1000.0,
      ""Quantity"": 887.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""RoHS"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": ""2018-10-04T12:48:00.2221189-04:00"",
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2018-09-28T12:48:00.2221189-04:00"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL3"",
        ""MSDState"": ""Exposed""
      }
    },
    {
      ""UniqueIdentifier"": ""MAT4566553421"",
      ""InternalPartNumber"": ""IPN45577"",
      ""Manufacturer"": ""FUJITSU"",
      ""ManufacturerPartNumber"": ""FJJT234243"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG543534537"",
      ""ManufacturerLotCode"": ""LOT2017080355"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2017-08-03T00:00:00"",
      ""ReceivedDate"": ""2017-09-10T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 500.0,
      ""Quantity"": 151.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""NotHazardous"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": ""2018-10-04T12:48:00.2221189-04:00"",
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2018-09-28T12:48:00.2221189-04:00"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL2A"",
        ""MSDState"": ""Exposed""
      }
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MSDManagement_MaterialsOpened.htm
CFX.Materials.Management.MSDManagement,MaterialsPlacedInDryStorage,Event/Notification,Sent when one or more MSD material packages have been placed into dry storage,MaterialsPlacedInDryStorage: Default constructor | Materials: The materials which have been placed in dry storage,"{
  ""Materials"": [
    {
      ""UniqueIdentifier"": ""MAT4566556456"",
      ""InternalPartNumber"": ""IPN47788"",
      ""Manufacturer"": ""MOTOROLA"",
      ""ManufacturerPartNumber"": ""MOT231234"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG23452442"",
      ""ManufacturerLotCode"": ""LOT2016110588"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2016-11-05T00:00:00"",
      ""ReceivedDate"": ""2017-05-06T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 1000.0,
      ""Quantity"": 887.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""RoHS"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": null,
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2018-09-28T12:48:00.2221189-04:00"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL3"",
        ""MSDState"": ""InDryStorage""
      }
    },
    {
      ""UniqueIdentifier"": ""MAT4566553421"",
      ""InternalPartNumber"": ""IPN45577"",
      ""Manufacturer"": ""FUJITSU"",
      ""ManufacturerPartNumber"": ""FJJT234243"",
      ""Vendor"": ""Digikey"",
      ""VendorPartNumber"": ""DIG543534537"",
      ""ManufacturerLotCode"": ""LOT2017080355"",
      ""Created"": ""2018-09-28T12:47:59.1991055-04:00"",
      ""ManufactureDate"": ""2017-08-03T00:00:00"",
      ""ReceivedDate"": ""2017-09-10T00:00:00"",
      ""Units"": null,
      ""InitialQuantity"": 500.0,
      ""Quantity"": 151.0,
      ""Status"": ""Active"",
      ""HazardousMaterialType"": ""NotHazardous"",
      ""MaterialData"": {
        ""$type"": ""CFX.Structures.MaterialPackageMSDData, CFX"",
        ""ExpirationDateTime"": null,
        ""OriginalExposureDateTime"": ""2017-05-01T08:22:12"",
        ""LastExposureDateTime"": ""2018-09-28T12:48:00.2221189-04:00"",
        ""RemainingExposureTime"": ""6.00:00:00"",
        ""MSDLevel"": ""MSL2A"",
        ""MSDState"": ""InDryStorage""
      }
    }
  ]
}",https://www.connectedfactoryexchange.com/CFXDemo/sdk/html/T_CFX_Materials_Management_MSDManagement_MaterialsPlacedInDryStorage.htm
